0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:02 +0900] "GET /mgz/myInfo HTTP/1.1" 200 3407
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:02 +0900] "GET /mgz/resources/css/myInfo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:23 +0900] "GET /mgz/myInfo HTTP/1.1" 200 2924
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:23 +0900] "GET /mgz/resources/css/index.css HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:23 +0900] "GET /mgz/resources/js/joinChecker.js HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:23 +0900] "GET /mgz/resources/css/myInfo.css HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:23 +0900] "GET /mgz/resources/js/hoValidChecker.js HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:23 +0900] "GET /mgz/resources/js/move.js HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:23 +0900] "GET /mgz/resources/css/login2.css HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:23 +0900] "GET /mgz/resources/css/img/mgzLogo.PNG HTTP/1.1" 200 14427
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:23 +0900] "GET /mgz/resources/css/Cafe24Dangdanghae.ttf HTTP/1.1" 200 1788084
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:27 +0900] "POST /mgz/login HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:27 +0900] "GET /mgz/resources/css/myInfo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:29 +0900] "GET /mgz/myInfo HTTP/1.1" 200 3407
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:29 +0900] "GET /mgz/resources/css/myInfo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:37 +0900] "GET /mgz/myInfo HTTP/1.1" 200 3407
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:37 +0900] "GET /mgz/resources/css/index.css HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:37 +0900] "GET /mgz/resources/css/myInfo.css HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:37 +0900] "GET /mgz/resources/js/move.js HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:37 +0900] "GET /mgz/resources/js/joinChecker.js HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:37 +0900] "GET /mgz/resources/js/hoValidChecker.js HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:37 +0900] "GET /mgz/resources/css/img/mgzLogo.PNG HTTP/1.1" 200 14427
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:37 +0900] "GET /mgz/resources/profilePhoto/1.PNG HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:37 +0900] "GET /mgz/resources/css/Cafe24Dangdanghae.ttf HTTP/1.1" 200 1788084
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:01:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
