127.0.0.1 - - [30/Aug/2022:09:12:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:12:03 +0900] "GET /mgz/ HTTP/1.1" 200 3453
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:12:03 +0900] "GET /mgz/resources/js/mgzJQuery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:12:03 +0900] "GET /mgz/resources/js/move.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:12:03 +0900] "GET /mgz/resources/css/gallertMain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:12:03 +0900] "GET /mgz/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:12:03 +0900] "GET /mgz/resources/css/galleryReply.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:12:03 +0900] "GET /mgz/resources/js/jQuery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:12:03 +0900] "GET /mgz/resources/js/joinChecker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:12:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:19:34 +0900] "GET /mgz/join HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:19:34 +0900] "GET /mgz/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:19:41 +0900] "GET /mgz/join HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:19:41 +0900] "GET /mgz/resources/js/hoValidChecker.js HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:19:41 +0900] "GET /mgz/resources/css/login.css HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:19:41 +0900] "GET /mgz/resources/js/joinChecker.js HTTP/1.1" 200 3483
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:19:41 +0900] "GET /mgz/resources/css/Cafe24Dangdanghae.ttf HTTP/1.1" 200 1788084
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:19:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:20:27 +0900] "GET /mgz/join HTTP/1.1" 200 6986
0:0:0:0:0:0:0:1 - - [30/Aug/2022:09:20:27 +0900] "GET /mgz/resources/js/joinChecker.js HTTP/1.1" 200 3483
