127.0.0.1 - - [30/Sep/2022:10:06:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:29 +0900] "GET /mgz/ HTTP/1.1" 200 3721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:29 +0900] "GET /mgz/resources/js/move.js HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:29 +0900] "GET /mgz/resources/css/myInfo.css HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:29 +0900] "GET /mgz/resources/css/gallertMain.css HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:29 +0900] "GET /mgz/resources/css/mapmap.css HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:29 +0900] "GET /mgz/resources/css/galleryReply.css HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:29 +0900] "GET /mgz/resources/css/index.css HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:30 +0900] "GET /mgz/resources/js/mgzJQuery.js HTTP/1.1" 200 3278
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:30 +0900] "GET /mgz/resources/js/hoValidChecker.js HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:30 +0900] "GET /mgz/resources/js/joinChecker.js HTTP/1.1" 200 3701
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:30 +0900] "GET /mgz/resources/js/map.js HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:30 +0900] "GET /mgz/resources/js/jQuery.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:30 +0900] "GET /mgz/resources/css/login2.css HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:30 +0900] "GET /mgz/resources/css/img/mgzLogo.PNG HTTP/1.1" 200 14427
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:30 +0900] "GET /mgz/resources/css/Cafe24Dangdanghae.ttf HTTP/1.1" 200 1788084
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:42 +0900] "POST /mgz/login HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:06:42 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:07:05 +0900] "GET /mgz/myInfo HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:07:05 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:07:15 +0900] "GET /mgz/galleryMain?page=1 HTTP/1.1" 200 12041
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:07:15 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:07:15 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:08:56 +0900] "GET /mgz/galleryMain?page=3&search= HTTP/1.1" 200 9483
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:08:56 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:08:56 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:08:59 +0900] "GET /mgz/galleryMain?page=1&search= HTTP/1.1" 200 12041
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:08:59 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:08:59 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:30:14 +0900] "GET /mgz/galleryMain?page=1&search= HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:30:14 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:30:14 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:30:59 +0900] "GET /mgz/galleryMain?page=1&search= HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:30:59 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:30:59 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:31:49 +0900] "GET /mgz/galleryMain?page=1&search= HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:31:49 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:31:49 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:37:40 +0900] "GET /mgz/galleryMain?page=1&search= HTTP/1.1" 200 10888
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:37:40 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:37:40 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:37:46 +0900] "GET /mgz/galleryMain?page=1&search= HTTP/1.1" 200 10888
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:37:46 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:37:46 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:37:50 +0900] "GET /mgz/galleryMain?page=1&search= HTTP/1.1" 200 10888
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:37:50 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:37:50 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:38:26 +0900] "POST /mgz/galleryWrite HTTP/1.1" 200 3780
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:38:37 +0900] "POST /mgz/login HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:38:37 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:38:48 +0900] "GET /mgz/galleryMain?page=1 HTTP/1.1" 200 12041
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:38:48 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:38:48 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:39:05 +0900] "POST /mgz/galleryWrite HTTP/1.1" 200 12082
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:39:05 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:39:05 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:39:32 +0900] "GET /mgz/index HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:39:32 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:39:37 +0900] "GET /mgz/dataroomMain HTTP/1.1" 200 7071
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:39:37 +0900] "GET /mgz/resources/css/dataroomMain.css HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:39:37 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:39:37 +0900] "GET /mgz/resources/css/img/fileImg.png HTTP/1.1" 200 17901
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:39:43 +0900] "GET /mgz/mapMain HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:39:43 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:40:48 +0900] "GET /mgz/index HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:40:48 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:41:17 +0900] "GET /mgz/galleryMain?page=1 HTTP/1.1" 200 12039
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:41:17 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Sep/2022:10:41:17 +0900] "GET /mgz/resources/profilePhoto/34.PNG HTTP/1.1" 404 721
